"Ad name","Amount spent (USD)",Impressions,"Clicks (all)","Link clicks","Reporting starts","Reporting ends"
"SC7_CheckThis | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025",664.88,20239,716,223,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 02-04-2026",662.27,23744,203,117,2025-09-15,2026-03-03
"Hook2 | TruckMovingUSA | CHK2_StartingAt1597 | CB3_CostSavings | 11-16-2025",660.82,8451,1307,1476,2025-09-15,2026-03-03
"SC3_WhyPayMore | SV4_AppleNoteButtonCTA | CHK1_SaveUpTo50 | CB1_Savings | 09-15-2025",657.19,8559,112,77,2025-09-15,2026-03-03
"SC5_MovingChecklist | SV7_AppleNote | CHK3_StressFreeLongDistance | CB2_StressFree | 09-22-2025",657.01,16952,425,316,2025-09-15,2026-03-03
"Threat / Hot Alarm - Proclamation Lead 4 - CID1GHWEZP | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026",655.62,16475,310,262,2025-09-15,2026-03-03
"VAM Crew Members - Organic Looking 4 - CIDCGZUZJE | CHK1_SaveUpTo50 | CB1_Savings | 02-23-2026",654.31,13319,722,619,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 2-8-2026",652.06,13195,148,82,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-8-2026",641.91,20327,341,110,2025-09-15,2026-03-03
"No Ghosting - Offer Lead 3 - CIDZG9UND1 | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026",641.3,49810,1880,1832,2025-09-15,2026-03-03
"SC7_CheckThis | SV11_TwitterStyleLight | CHK1_SaveUpTo50 | CB1_Savings | 01-05-2026",640.25,16197,214,137,2025-09-15,2026-03-03
"VHK10_MovesStartingAt1597 | VB1_NoBody | VV4_SideTruckAnimationV2White | CHK3_StressFreeLongDistance | CB2_StressFree | 11-18-2025",638.26,7646,127,106,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 09-30-2025",638.12,18308,502,187,2025-09-15,2026-03-03
"SC82_AlmostPaid3k | SV31_AppleNoteLight | CB1_Savings | 02-18-2026",633.29,24346,235,183,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 03-02-2026",627.79,17839,390,128,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV1_TruckSide | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025",626.1,7770,128,75,2025-09-15,2026-03-03
