Timeline,Date,Spend,Impressions,CPM,Reach,Clicks (all),CTR (all),CPC (all),Clicks (link),CTR (link),CPC (link),Leads,CPL,New Leads,CPNL,Raw Calls ,CPCall,Connected Calls,CPConnected,Connected %,Sales - Book Date,CPA - Book Date,Lead To Close %,Raw Call Close %,Connected Call to Close %,Cash - Book Date,Cash ROAS - Book Date,Sales - Open Date,CPA - Open Date,Cash - Open Date,Cash ROAS - Open Date,
Monday,"March 16, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Tuesday,"March 17, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Wednesday,"March 18, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Thursday,"March 19, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Friday,"March 20, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Saturday,"March 21, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Sunday,"March 22, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Monday,"March 23, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Tuesday,"March 24, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Wednesday,"March 25, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Thursday,"March 26, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Friday,"March 27, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
